date,customer_id,product_category,payment_method,value [USD],time_on_site [Minutes],clicks_in_site
2018-11-20,37077,505,credit,49.53,12.0,8
2018-11-20,59173,509,paypal,50.61,25.9,8
2018-11-20,41066,507,credit,85.99,34.9,11
2018-11-20,50741,506,credit,34.6,16.5,9
2018-11-20,53639,515,paypal,266.27,43.1,30
2018-11-20,39783,501,credit,193.78,14.0,10
2018-11-20,26767,514,paypal,61.22,11.6,8
2018-11-20,20719,505,paypal,11.18,3.1,7
2018-11-20,46947,515,paypal,144.01,38.3,6
2018-11-20,31839,512,credit,447.92,41.8,19
2018-11-20,22249,509,paypal,144.87,7.8,13
2018-11-20,15109,512,credit,102.76,15.6,9
2018-11-20,18622,509,paypal,91.58,8.0,6
2018-11-20,56296,503,credit,28.43,12.2,8
2018-11-20,34138,506,paypal,56.04,17.0,10
2018-11-20,51112,514,paypal,3.69,4.3,6
2018-11-20,57057,503,paypal,8.86,38.1,0
2018-11-20,50942,514,credit,59.55,38.6,10
2018-11-20,42384,514,paypal,132.85,34.5,8
2018-11-20,26127,510,paypal,41.69,44.2,8
2018-11-20,14449,514,paypal,234.7,24.8,0
2018-11-20,16823,508,credit,87.44,13.5,11
2018-11-20,15976,508,paypal,152.93,9.0,16
2018-11-20,51542,514,paypal,30.0,11.8,7
2018-11-20,42676,511,paypal,11.8,6.6,6
2018-11-20,56593,509,paypal,48.93,20.6,8
2018-11-20,37689,508,paypal,169.23,56.7,9
2018-11-20,26058,504,credit,56.2,10.8,0
2018-11-20,38941,514,paypal,370.11,49.7,7
2018-11-20,19919,512,credit,201.99,19.5,22
2018-11-20,56625,505,credit,84.1,16.3,14
2018-11-20,33501,514,paypal,198.55,34.2,10
2018-11-20,40865,515,credit,105.02,19.8,16
2018-11-20,38256,505,paypal,80.83,29.0,8
2018-11-20,14567,509,credit,108.04,20.9,12
2018-11-20,38178,507,credit,17.86,8.6,7
2018-11-20,24153,513,credit,305.29,27.8,20
2018-11-20,27385,509,paypal,108.18,36.1,13
2018-11-20,44937,505,credit,95.28,25.2,10
2018-11-20,38490,510,credit,4.01,2.7,6
2018-11-20,30549,512,credit,200.0,12.3,25
2018-11-20,50606,508,paypal,385.52,33.6,23
2018-11-20,42084,504,paypal,129.91,28.2,18
2018-11-20,52161,512,credit,165.98,26.9,16
2018-11-20,32218,508,paypal,441.39,37.9,12
2018-11-20,36491,513,paypal,14.34,70.0,7
2018-11-20,12227,515,credit,341.51,25.4,7
2018-11-20,13196,514,credit,90.91,11.5,13
2018-11-20,50444,507,credit,74.0,30.7,13
2018-11-20,24528,509,credit,297.49,31.3,7
2018-11-20,57748,509,paypal,49.72,14.4,8
2018-11-20,46349,515,paypal,89.69,10.2,12
2018-11-20,54853,508,credit,64.29,138.4,12
2018-11-20,28082,507,credit,12.18,8.9,6
2018-11-20,20444,503,credit,200.2,29.3,19
2018-11-20,51472,508,paypal,276.58,28.2,25
2018-11-20,45606,501,credit,92.11,14.8,7
2018-11-20,47238,503,credit,115.71,13.8,12
2018-11-20,18609,507,credit,8.05,10.6,7
2018-11-20,39387,515,credit,240.17,9.5,21
2018-11-20,47027,514,credit,228.02,9.4,19
2018-11-20,31526,505,credit,267.67,13.3,7
2018-11-20,25308,506,credit,468.88,30.6,13
2018-11-20,47320,502,paypal,193.77,6.6,23
2018-11-20,52527,513,credit,361.91,29.6,20
2018-11-20,17333,510,credit,15.02,4.5,8
2018-11-20,26223,513,credit,420.88,85.4,22
2018-11-20,22734,502,paypal,72.2,7.3,8
2018-11-20,54066,511,credit,280.96,10.0,17
2018-11-20,55093,508,credit,173.17,51.5,21
2018-11-20,49436,501,credit,489.21,14.2,50
2018-11-20,41257,511,credit,708.86,71.1,18
2018-11-20,55433,502,paypal,15.04,72.5,7
2018-11-20,13366,503,paypal,128.71,54.5,11
2018-11-20,41451,508,credit,584.35,83.7,53
2018-11-20,42588,514,paypal,231.14,16.6,20
2018-11-20,26754,501,paypal,236.96,11.6,24
2018-11-20,34365,510,credit,281.86,48.6,15
2018-11-20,49745,507,credit,337.98,33.0,21
2018-11-20,53213,506,credit,1107.58,22.5,17
2018-11-20,43735,506,paypal,52.92,18.3,9
2018-11-20,14760,504,credit,129.23,13.7,15
2018-11-20,44410,504,paypal,42.17,6.7,9
2018-11-20,53552,515,paypal,183.27,11.5,17
2018-11-20,39696,512,credit,258.63,74.2,30
2018-11-20,22235,501,paypal,57.94,14.0,7
2018-11-20,42599,507,credit,61.33,12.2,12
2018-11-20,27079,504,credit,36.03,43.2,9
