customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score
10000,3,2,694.0699999999999,5,4,5,545,14
10002,5,1,164.28,4,1,3,413,8
10004,6,1,186.92,3,1,3,313,7
10006,4,2,156.63,4,4,3,443,11
10013,3,1,705.4,5,1,5,515,11
10015,2,1,191.21,5,1,3,513,9
10019,5,1,881.64,4,1,5,415,10
10023,11,1,49.44,1,1,1,111,3
10024,11,1,3.82,1,1,1,111,3
10026,9,1,63.46,2,1,2,212,5
10027,10,1,308.93,1,1,4,114,6
10038,11,1,100.34,1,1,2,112,4
10043,8,1,587.01,3,1,5,315,9
10044,4,1,65.78,4,1,2,412,7
10045,3,2,266.77,5,4,4,544,13
10054,8,1,200.58,3,1,3,313,7
10056,8,1,299.82,3,1,4,314,8
10059,8,2,284.3,3,4,4,344,11
10060,8,1,188.13,3,1,3,313,7
10062,5,1,78.43,4,1,2,412,7
10063,2,2,283.80999999999995,5,4,4,544,13
10065,10,1,192.03,1,1,3,113,5
10070,4,1,114.62,4,1,2,412,7
10073,8,1,1.45,3,1,1,311,5
10077,8,1,10.24,3,1,1,311,5
10081,4,2,1195.67,4,4,5,445,13
10087,4,3,470.36,4,5,5,455,14
10088,9,1,78.1,2,1,2,212,5
10089,3,2,76.49,5,4,2,542,11
10092,8,1,67.24,3,1,2,312,6
10095,7,2,265.32,3,4,4,344,11
10096,6,1,281.88,3,1,4,314,8
10098,5,1,388.13,4,1,4,414,9
10099,6,1,92.15,3,1,2,312,6
10100,3,1,186.35,5,1,3,513,9
10101,5,1,95.94,4,1,2,412,7
10103,2,2,65.10000000000001,5,4,2,542,11
10106,6,1,1050.91,3,1,5,315,9
10107,3,1,341.27,5,1,4,514,10
10110,10,1,20.9,1,1,1,111,3
10114,3,2,287.52,5,4,4,544,13
10115,5,1,22.83,4,1,1,411,6
10118,8,2,234.98,3,4,3,343,10
10119,8,1,158.28,3,1,3,313,7
10123,8,1,94.01,3,1,2,312,6
10124,6,1,22.81,3,1,1,311,5
10126,4,1,577.41,4,1,5,415,10
10128,3,3,281.44,5,5,4,554,14
10129,5,1,56.8,4,1,1,411,6
10130,6,1,82.14,3,1,2,312,6
10135,2,1,26.65,5,1,1,511,7
10136,3,1,203.73,5,1,3,513,9
10140,8,1,52.74,3,1,1,311,5
10141,3,1,9.01,5,1,1,511,7
10144,10,1,8.91,1,1,1,111,3
10149,9,1,128.31,2,1,2,212,5
10151,3,1,104.3,5,1,2,512,8
10157,8,1,89.24,3,1,2,312,6
10158,6,1,9.91,3,1,1,311,5
10159,8,1,25.89,3,1,1,311,5
10166,3,2,336.03999999999996,5,4,4,544,13
10168,10,1,60.04,1,1,2,112,4
10170,2,1,25.52,5,1,1,511,7
10172,2,1,87.57,5,1,2,512,8
10173,8,1,148.64,3,1,3,313,7
10174,10,1,16.46,1,1,1,111,3
10175,5,1,2.13,4,1,1,411,6
10176,8,1,306.84,3,1,4,314,8
10179,8,1,437.72,3,1,5,315,9
10180,2,1,28.99,5,1,1,511,7
10181,2,2,137.26999999999998,5,4,3,543,12
10182,4,2,310.14,4,4,4,444,12
10183,6,1,186.08,3,1,3,313,7
10185,5,1,97.07,4,1,2,412,7
10190,8,1,469.83,3,1,5,315,9
10192,8,1,7.73,3,1,1,311,5
10200,8,1,367.38,3,1,4,314,8
10201,2,2,307.84000000000003,5,4,4,544,13
10207,6,2,307.86,3,4,4,344,11
10211,2,1,37.87,5,1,1,511,7
10213,6,1,12.98,3,1,1,311,5
10214,6,2,624.63,3,4,5,345,12
10218,11,1,118.61,1,1,2,112,4
10224,8,1,163.67,3,1,3,313,7
10226,4,1,19.61,4,1,1,411,6
10227,3,1,97.81,5,1,2,512,8
10228,5,1,37.0,4,1,1,411,6
10229,4,1,299.59,4,1,4,414,9
10231,8,1,99.92,3,1,2,312,6
10235,10,1,10.79,1,1,1,111,3
10237,6,1,437.63,3,1,5,315,9
10244,6,2,603.28,3,4,5,345,12
10246,6,1,72.1,3,1,2,312,6
10254,2,1,250.73,5,1,4,514,10
10257,2,1,235.19,5,1,3,513,9
10260,8,1,27.13,3,1,1,311,5
10261,6,1,426.72,3,1,5,315,9
10263,3,1,43.81,5,1,1,511,7
10265,8,1,92.8,3,1,2,312,6
10266,2,1,51.31,5,1,1,511,7
10269,3,1,18.62,5,1,1,511,7
10270,8,2,585.99,3,4,5,345,12
10271,4,1,9.59,4,1,1,411,6
10272,8,1,389.08,3,1,4,314,8
10275,8,1,685.05,3,1,5,315,9
10276,10,1,164.6,1,1,3,113,5
10277,2,1,329.84,5,1,4,514,10
10280,6,1,302.82,3,1,4,314,8
10284,11,1,314.12,1,1,4,114,6
10285,4,1,24.98,4,1,1,411,6
